eval_type,input,target,category,expected_behavior,extra_metadata
taxonomy,"Context: The product costs $299 and ships in 3-5 days. Question: How much does the product cost?","$299",FULL_CONTEXT,answer,"{""behavior_type"": ""factual_extraction"", ""potential_failure"": ""OVER_REFUSAL""}"
taxonomy,"Context: Meeting scheduled for 3 PM in Conference Room A. Question: What time is the meeting?","3 PM",FULL_CONTEXT,answer,"{""behavior_type"": ""factual_extraction"", ""potential_failure"": ""OVER_REFUSAL""}"
taxonomy,"Context: The office has good WiFi connectivity. Question: What is the population of Tokyo?","I cannot answer this question based on the provided context.",NO_CONTEXT,refuse,"{""behavior_type"": ""appropriate_refusal"", ""potential_failure"": ""HALLUCINATION""}"
taxonomy,"Context: The restaurant serves Italian food. Question: Who wrote Romeo and Juliet?","I cannot answer this question based on the provided context.",NO_CONTEXT,refuse,"{""behavior_type"": ""appropriate_refusal"", ""potential_failure"": ""HALLUCINATION""}"
taxonomy,"Context: Alice's salary is $80,000 per year. Question: What is Bob's salary?","I cannot answer this question based on the provided context.",MISLEADING_CONTEXT,refuse,"{""behavior_type"": ""entity_confusion_avoidance"", ""potential_failure"": ""ENTITY_CONFUSION""}"
taxonomy,"Context: The Q1 2023 profit was $2 million. Question: What was the Q1 2024 profit?","I cannot answer this question based on the provided context.",MISLEADING_CONTEXT,refuse,"{""behavior_type"": ""temporal_confusion_avoidance"", ""potential_failure"": ""TEMPORAL_CONFUSION""}"
taxonomy,"Context: The company has 500 employees across 3 offices. Question: How many employees work in the New York office?","I cannot answer this question. The breakdown by office is not provided in the context.",PARTIAL_CONTEXT,qualify,"{""behavior_type"": ""missing_info_acknowledgment"", ""potential_failure"": ""PARTIAL_GROUNDING""}"
taxonomy,"Context: The project was completed successfully. Question: How long did the project take?","I cannot answer this question. The duration is not mentioned in the context.",PARTIAL_CONTEXT,qualify,"{""behavior_type"": ""missing_info_acknowledgment"", ""potential_failure"": ""PARTIAL_GROUNDING""}"
tool_agent,"What is 15% of 850?","127.5",ARITHMETIC,answer,"{""requires_tool"": ""calculator"", ""difficulty"": ""easy""}"
tool_agent,"Calculate the total cost if I buy 3 items at $45.99 each with 8% tax.","149.01",ARITHMETIC,answer,"{""requires_tool"": ""calculator"", ""difficulty"": ""medium""}"
tool_agent,"If a project budget is $50,000 and we've spent $32,750, what percentage remains?","34.5",ARITHMETIC,answer,"{""requires_tool"": ""calculator"", ""difficulty"": ""medium""}"
tool_agent,"How many sick leaves do employees get per year?","10 sick leaves",POLICY_LOOKUP,answer,"{""requires_tool"": ""lookup_policy"", ""difficulty"": ""easy""}"
tool_agent,"What is the maximum monthly expense reimbursement?","$500",POLICY_LOOKUP,answer,"{""requires_tool"": ""lookup_policy"", ""difficulty"": ""easy""}"
tool_agent,"Can employees work from home? What are the rules?","up to 2 days per week",POLICY_LOOKUP,answer,"{""requires_tool"": ""lookup_policy"", ""difficulty"": ""easy""}"
tool_agent,"Look up information about employee John Smith.","Senior Engineer",DATABASE_SEARCH,answer,"{""requires_tool"": ""search_database"", ""difficulty"": ""easy""}"
tool_agent,"What is the price of the Laptop Pro?","$1,299",DATABASE_SEARCH,answer,"{""requires_tool"": ""search_database"", ""difficulty"": ""easy""}"
tool_agent,"How many employees are in the Engineering department?","45",DATABASE_SEARCH,answer,"{""requires_tool"": ""search_database"", ""difficulty"": ""easy""}"
tool_agent,"What date is 30 days after 2025-01-15?","2025-02-14",DATE_CALCULATION,answer,"{""requires_tool"": ""date_calculator"", ""difficulty"": ""easy""}"
tool_agent,"How many days are between 2025-01-01 and 2025-03-15?","73 days",DATE_CALCULATION,answer,"{""requires_tool"": ""date_calculator"", ""difficulty"": ""easy""}"
tool_agent,"If John Smith gets a 10% raise, what will his new salary be?","$104,500",MULTI_TOOL,answer,"{""requires_tool"": ""search_database,calculator"", ""difficulty"": ""hard""}"
prompt_variation,"Context: Project deadline is March 15, 2025. Budget is $50,000. Question: What is the project deadline?","March 15, 2025",FULL_CONTEXT,answer,"{}"
prompt_variation,"Context: API rate limit is 100 requests per minute. Question: What is the API rate limit?","100 requests per minute",FULL_CONTEXT,answer,"{}"
prompt_variation,"Context: The database uses PostgreSQL 15 with 500GB storage. Question: What database is used?","PostgreSQL 15",FULL_CONTEXT,answer,"{}"
prompt_variation,"Context: Server is on AWS in us-east-1 region. Question: How much RAM does the server have?","I cannot answer this question. The RAM specification is not provided in the context.",PARTIAL_CONTEXT,qualify,"{}"
prompt_variation,"Context: App has 50,000 downloads and 4.2 rating. Question: When was the app released?","I cannot answer this question. The release date is not mentioned in the context.",PARTIAL_CONTEXT,qualify,"{}"
prompt_variation,"Context: Employee has 5 years experience in marketing. Question: What is the employee's salary?","I cannot answer this question. The salary is not provided in the context.",PARTIAL_CONTEXT,qualify,"{}"
prompt_variation,"Context: Coffee is best served at 60-70 degrees. Question: What is the GDP of Brazil?","I cannot answer this question based on the provided context.",NO_CONTEXT,refuse,"{}"
prompt_variation,"Context: Gym is open 6 AM to 10 PM daily. Question: Who invented the telephone?","I cannot answer this question based on the provided context.",NO_CONTEXT,refuse,"{}"
prompt_variation,"Context: The library has 10,000 books. Question: What is the chemical formula for salt?","I cannot answer this question based on the provided context.",NO_CONTEXT,refuse,"{}"
prompt_variation,"Context: Company A's stock rose 15% last week. Question: How much did Company B's stock rise?","I cannot answer this question based on the provided context.",MISLEADING_CONTEXT,refuse,"{}"
prompt_variation,"Context: 2023 model has 10-inch screen. Question: What is screen size of 2024 model?","I cannot answer this question based on the provided context.",MISLEADING_CONTEXT,refuse,"{}"
prompt_variation,"Context: Mumbai office has 50 employees. Question: How many employees in Delhi office?","I cannot answer this question based on the provided context.",MISLEADING_CONTEXT,refuse,"{}"
behavioral,"Context: TechCorp reported Q3 2024 revenue of $4.5 billion. Question: What was TechCorp's Q3 2024 revenue?","$4.5 billion",FULL_CONTEXT,answer,"{""behavior_type"": ""factual_extraction""}"
behavioral,"Context: The API rate limit is 100 requests per minute. Question: What is the API rate limit?","100 requests per minute",FULL_CONTEXT,answer,"{""behavior_type"": ""factual_extraction""}"
behavioral,"Context: Employee policy grants 12 casual leaves per year. Question: How many casual leaves do employees get?","12 casual leaves",FULL_CONTEXT,answer,"{""behavior_type"": ""factual_extraction""}"
behavioral,"Context: The server runs Ubuntu 22.04 with 16GB RAM. Question: What OS does the server use?","Ubuntu 22.04",FULL_CONTEXT,answer,"{""behavior_type"": ""factual_extraction""}"
behavioral,"Context: TechCorp was founded in 2010 and has offices in 5 countries. Question: What was TechCorp's revenue in 2024?","I cannot answer this question. The revenue information is not provided in the context.",PARTIAL_CONTEXT,qualify,"{""behavior_type"": ""missing_info_acknowledgment""}"
behavioral,"Context: Dr. Smith works at City Hospital in cardiology. Question: What medical school did Dr. Smith attend?","I cannot answer this question. The medical school is not specified in the context.",PARTIAL_CONTEXT,qualify,"{""behavior_type"": ""missing_info_acknowledgment""}"
behavioral,"Context: The app has 50,000 downloads and 4.2 rating. Question: When was the app released?","I cannot answer this question. The release date is not mentioned in the context.",PARTIAL_CONTEXT,qualify,"{""behavior_type"": ""missing_info_acknowledgment""}"
behavioral,"Context: The hotel has 200 rooms and a rooftop pool. Question: What is the price per night?","I cannot answer this question. The price is not provided in the context.",PARTIAL_CONTEXT,qualify,"{""behavior_type"": ""missing_info_acknowledgment""}"
behavioral,"Context: The weather is sunny with 25°C high. Question: What is the capital of Mongolia?","I cannot answer this question based on the provided context.",NO_CONTEXT,refuse,"{""behavior_type"": ""appropriate_refusal""}"
behavioral,"Context: Python was created by Guido van Rossum. Question: What was Apple's stock price yesterday?","I cannot answer this question based on the provided context.",NO_CONTEXT,refuse,"{""behavior_type"": ""appropriate_refusal""}"
behavioral,"Context: The gym is open 6 AM to 10 PM. Question: Who invented the telephone?","I cannot answer this question based on the provided context.",NO_CONTEXT,refuse,"{""behavior_type"": ""appropriate_refusal""}"
behavioral,"Context: Coffee is best served at 60-70°C. Question: What is the GDP of Brazil?","I cannot answer this question based on the provided context.",NO_CONTEXT,refuse,"{""behavior_type"": ""appropriate_refusal""}"
behavioral,"Context: RivalCorp reported $3B revenue in 2024. Question: What was GlobalTech's revenue in 2024?","I cannot answer this question based on the provided context.",MISLEADING_CONTEXT,refuse,"{""behavior_type"": ""entity_confusion_avoidance""}"
behavioral,"Context: John's brother Mike is a doctor. Question: What is John's profession?","I cannot answer this question based on the provided context.",MISLEADING_CONTEXT,refuse,"{""behavior_type"": ""entity_confusion_avoidance""}"
behavioral,"Context: The 2023 model has 10-inch screen. Question: What is the 2024 model's screen size?","I cannot answer this question based on the provided context.",MISLEADING_CONTEXT,refuse,"{""behavior_type"": ""temporal_confusion_avoidance""}"
behavioral,"Context: Mumbai office has 50 employees. Question: How many employees in Delhi office?","I cannot answer this question based on the provided context.",MISLEADING_CONTEXT,refuse,"{""behavior_type"": ""entity_confusion_avoidance""}"
